Year,Fatal Crashes,Personal Injury Crashes,Persons Killed,Persons Injured
2005,86,"1,681",89,"1,975"
2006,91,"1,803",94,"2,091"
2007,89,"1,856",93,"2,177"
2008,103,"1,950",108,"2,279"
2009,82,"1,842",84,"2,178"
2010,94,"1,727",97,"2,026"
2011,81,"1,892",82,"2,165"
2012,98,"2,059",104,"2,397"
2013,71,"1,755",73,"2,045"
2014,86,"1,734",88,"1,979"
